year,total_population,median_household_income,median_home_value,labor_force,state,zip_code,residential_permits,commercial_permits,retail_permits,residential_construction_cost,commercial_construction_cost,retail_construction_cost,reported_cost,unemployment_rate,real_gdp,per_capita_income,personal_income,unemployment_rate_pct_change,real_gdp_pct_change,per_capita_income_pct_change,personal_income_pct_change
2015,11905.0,102254.0,434900.0,8061.0,17.0,60601,1.0,0.0,2.0,35000.0,0.0,35001.0,322001.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,13695.0,103735.0,463300.0,8581.0,17.0,60601,0.0,1.0,1.0,0.0,15000.0,15000.0,4035760.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,13887.0,110215.0,502600.0,9124.0,17.0,60601,0.0,0.0,0.0,0.0,0.0,0.0,329600.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,14675.0,103243.0,499900.0,9828.0,17.0,60601,0.0,0.0,0.0,0.0,0.0,0.0,70414.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,15083.0,103112.0,519400.0,10017.0,17.0,60601,1.0,0.0,0.0,11200.0,0.0,0.0,374555.0,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,14513.0,109625.0,540600.0,9232.0,17.0,60601,2.0,0.0,1.0,330000.0,0.0,70000.0,420864.0,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,14804.0,123115.0,519700.0,10309.0,17.0,60601,1.0,0.0,1.0,23256.0,0.0,1900.0,53540.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,16398.0,121294.0,556900.0,11234.0,17.0,60601,0.0,2.0,2.0,0.0,345418.0,276000.0,2887257.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,16292.0,127323.0,495400.0,11174.0,17.0,60601,4.0,1.0,1.0,84663.0,1200000.0,22000.0,1909853.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,16292.0,127323.0,495400.0,11174.0,17.0,60601,11.0,1.0,2.0,380196.0,250000.0,770000.0,6341303.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,16292.0,127323.0,495400.0,11174.0,17.0,60601,19.0,0.0,4.0,1201650.0,0.0,275000.0,6249868.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,1294.0,57368.0,339100.0,915.0,17.0,60602,5.0,1.0,2.0,85200.0,5000000.0,5045000.0,8729200.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,1252.0,85313.0,375400.0,875.0,17.0,60602,0.0,2.0,0.0,0.0,232000.0,0.0,556674.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,1277.0,115774.0,-666666666.0,885.0,17.0,60602,2.0,0.0,0.0,210000.0,0.0,0.0,791848.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,1244.0,157125.0,-666666666.0,931.0,17.0,60602,0.0,2.0,1.0,0.0,5000.0,3000.0,65722.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,1145.0,191528.0,-666666666.0,956.0,17.0,60602,2.0,0.0,2.0,325000.0,0.0,15000.0,1270818.0,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,1596.0,226276.0,-666666666.0,1434.0,17.0,60602,3.0,0.0,0.0,2355737.91,0.0,0.0,4331690.91,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,1142.0,235666.0,-666666666.0,939.0,17.0,60602,3.0,1.0,2.0,78951.0,35000.0,70000.0,2157531.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,938.0,167617.0,-666666666.0,712.0,17.0,60602,16.0,1.0,0.0,25054500.0,17000.0,0.0,30967254.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,1127.0,123047.0,383300.0,848.0,17.0,60602,11.0,2.0,5.0,24074000.0,4370000.0,747148.0,32499588.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,1127.0,123047.0,383300.0,848.0,17.0,60602,11.0,1.0,5.0,322748.0,133045.0,1378000.0,13183094.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,1127.0,123047.0,383300.0,848.0,17.0,60602,25.0,1.0,2.0,3552101.0,220000.0,100000.0,8472220.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,1076.0,122031.0,603300.0,683.0,17.0,60603,3.0,0.0,0.0,4090500.0,0.0,0.0,4830500.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,1029.0,140500.0,613400.0,642.0,17.0,60603,1.0,0.0,2.0,15000.0,0.0,265000.0,1470292.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,1197.0,140114.0,678900.0,747.0,17.0,60603,6.0,0.0,3.0,59849560.0,0.0,58035612.0,60127373.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,1174.0,151765.0,676900.0,819.0,17.0,60603,3.0,0.0,2.0,2035800.0,0.0,100000.0,8304588.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,1052.0,146250.0,672700.0,695.0,17.0,60603,2.0,1.0,1.0,3525750.0,3500000.0,3500000.0,5107851.0,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,1186.0,140125.0,499400.0,774.0,17.0,60603,4.0,2.0,1.0,245000.0,600000.0,200000.0,921002.0,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,1275.0,114394.0,562500.0,824.0,17.0,60603,7.0,0.0,0.0,2101500.0,0.0,0.0,5425238.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,1110.0,124888.0,757500.0,748.0,17.0,60603,6.0,2.0,1.0,14372442.0,1580000.0,9500.0,27923162.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,1126.0,128107.0,608100.0,772.0,17.0,60603,3.0,2.0,3.0,1950000.0,510000.0,730000.0,5690076.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,1126.0,128107.0,608100.0,772.0,17.0,60603,20.0,1.0,1.0,24785791.0,3160054.0,625000.0,30269130.26,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,1126.0,128107.0,608100.0,772.0,17.0,60603,21.0,2.0,11.0,9091070.0,450000.0,5792500.0,28319656.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,545.0,151731.0,572000.0,387.0,17.0,60604,1.0,0.0,1.0,1500.0,0.0,125000.0,1244801.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,619.0,150125.0,460400.0,432.0,17.0,60604,0.0,0.0,1.0,0.0,0.0,300000.0,322002.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,668.0,114565.0,506800.0,482.0,17.0,60604,2.0,0.0,1.0,305000.0,0.0,25000.0,530082.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,782.0,116250.0,480000.0,547.0,17.0,60604,4.0,0.0,1.0,380000.0,0.0,10000.0,595323.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,823.0,91750.0,485900.0,599.0,17.0,60604,5.0,1.0,1.0,39535000.0,1.0,100000.0,40562951.0,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,729.0,58558.0,485900.0,525.0,17.0,60604,3.0,0.0,1.0,41198000.0,0.0,0.0,42130551.0,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,687.0,67938.0,575000.0,446.0,17.0,60604,1.0,0.0,1.0,1300000.0,0.0,85000.0,1784060.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,737.0,76667.0,601300.0,488.0,17.0,60604,5.0,2.0,5.0,1291476.0,381876.0,1010000.0,3720911.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,653.0,77806.0,577700.0,440.0,17.0,60604,9.0,1.0,2.0,4430000.0,75000.0,1100000.0,10513772.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,653.0,77806.0,577700.0,440.0,17.0,60604,10.0,0.0,3.0,704754.0,0.0,1774444.0,7302647.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,653.0,77806.0,577700.0,440.0,17.0,60604,22.0,0.0,10.0,1470856.0,0.0,1103495.0,13810992.2,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,27238.0,87668.0,352000.0,18608.0,17.0,60605,4.0,1.0,1.0,590000.0,366697.0,250000.0,2696897.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,26623.0,99725.0,378100.0,18628.0,17.0,60605,4.0,1.0,0.0,425000.0,220000.0,0.0,1460601.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,26188.0,107811.0,387900.0,17866.0,17.0,60605,11.0,2.0,2.0,9545000.0,3460772.0,1919681.0,30479962.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,27519.0,111164.0,395700.0,18837.0,17.0,60605,1.0,1.0,1.0,500000.0,89500.0,89500.0,1477500.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,29060.0,111438.0,398900.0,19330.0,17.0,60605,3.0,4.0,1.0,699289.0,264289.0,50000.0,3784305.0,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,30950.0,109194.0,404400.0,20697.0,17.0,60605,4.0,0.0,1.0,904856.2,0.0,100000.0,3325410.2,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,32077.0,112162.0,414400.0,21532.0,17.0,60605,1.0,0.0,0.0,750000.0,0.0,0.0,3536400.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,34314.0,116462.0,480000.0,23214.0,17.0,60605,8.0,3.0,6.0,4305000.0,3125000.0,4095000.0,10119620.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,34256.0,118403.0,495900.0,23504.0,17.0,60605,13.0,0.0,4.0,3332550.0,0.0,740250.0,10539606.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,34256.0,118403.0,495900.0,23504.0,17.0,60605,9.0,0.0,2.0,1443000.0,0.0,151500.0,15693225.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,34256.0,118403.0,495900.0,23504.0,17.0,60605,40.0,5.0,8.0,18299690.0,701500.0,5959200.0,39604009.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,3098.0,106661.0,364600.0,2460.0,17.0,60606,1.0,6.0,2.0,811200.0,163000.0,22050000.0,23688543.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,3011.0,119973.0,393500.0,2416.0,17.0,60606,2.0,2.0,2.0,165000.0,500.0,720000.0,3252670.0,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,2959.0,139179.0,441900.0,2401.0,17.0,60606,1.0,0.0,4.0,46000.0,0.0,4165000.0,6467404.0,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,3101.0,131477.0,421500.0,2620.0,17.0,60606,6.0,2.0,4.0,1162894.0,50000.0,1650000.0,4278356.0,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,3287.0,140558.0,402500.0,2805.0,17.0,60606,5.0,0.0,2.0,800273.0,0.0,94153.0,2088842.8,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,3204.0,121982.0,338700.0,2874.0,17.0,60606,7.0,2.0,2.0,30727375.0,525000.0,26075000.0,32867346.0,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393
2021,3298.0,130196.0,335500.0,2961.0,17.0,60606,8.0,1.0,6.0,143650000.0,9500000.0,9840466.0,157085380.0,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274
2022,3513.0,133333.0,352900.0,3185.0,17.0,60606,7.0,1.0,5.0,4314200.0,2000000.0,2975000.0,14009871.0,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378
2023,3527.0,139148.0,366500.0,3244.0,17.0,60606,20.0,6.0,8.0,3017737.0,1350501.0,1665030.0,14857622.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,3527.0,139148.0,366500.0,3244.0,17.0,60606,24.0,2.0,8.0,9453653.0,576300.0,888000.0,18957422.25,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,3527.0,139148.0,366500.0,3244.0,17.0,60606,51.0,2.0,25.0,15388720.0,3217412.0,12213576.0,53205429.96,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
2015,27557.0,85917.0,341800.0,18327.0,17.0,60607,4.0,3.0,2.0,920000.0,710000.0,105000.0,3256468.0,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
