zip_code,year,total_licenses,unique_businesses,active_licenses
00000,2023.0,14,12,14
00000,2024.0,10,8,10
00000,2025.0,8,6,8
00132,2025.0,1,1,1
01101,2024.0,1,1,1
01224,2023.0,1,1,1
01376,2024.0,1,1,1
01701,2024.0,1,1,1
01752,2024.0,1,1,1
01810,2023.0,1,1,1
01840,2023.0,1,1,1
01845,2023.0,1,1,1
01876,2023.0,1,1,1
02062,2023.0,1,1,1
02118,2025.0,1,1,1
02150,2023.0,1,1,1
02210,2024.0,1,1,1
02346,2024.0,1,1,1
02452,2023.0,1,1,1
02902,2025.0,1,1,1
02914,2024.0,1,1,1
03054,2023.0,1,1,1
03057,2023.0,1,1,1
03079,2023.0,1,1,1
03101,2025.0,1,1,1
03801,2023.0,1,1,1
03801,2024.0,1,1,1
03801,2025.0,1,1,1
03833,2023.0,1,1,1
04103,2025.0,1,1,1
06033,2023.0,1,1,1
06033,2025.0,1,1,1
06108,2023.0,1,1,1
06213,2024.0,1,1,1
06413,2023.0,1,1,1
06451,2024.0,1,1,1
06488,2024.0,1,1,1
06810,2024.0,1,1,1
06830,2025.0,1,1,1
06831,2023.0,4,4,4
06901,2024.0,1,1,1
07013,2025.0,1,1,1
07083,2025.0,1,1,1
07102,2023.0,1,1,1
07102,2025.0,1,1,1
07302,2023.0,1,1,1
07446,2024.0,1,1,1
07632,2023.0,2,2,2
07719,2023.0,2,2,2
07719,2025.0,1,1,1
07733,2023.0,1,1,1
07920,2024.0,1,1,1
08003,2023.0,1,1,1
08003,2024.0,1,1,1
0801,2024.0,1,1,1
08057,2023.0,1,1,1
08083,2024.0,1,1,1
08302,2023.0,1,1,1
08468,2024.0,1,1,1
08523,2024.0,1,1,1
08558,2024.0,1,1,1
08690,2023.0,1,1,1
08816,2023.0,2,1,2
08830,2024.0,1,1,1
08854,2023.0,1,1,1
10001,2023.0,1,1,1
10001,2025.0,1,1,1
10003,2025.0,1,1,1
10004,2023.0,3,1,3
10006,2024.0,1,1,1
10007,2024.0,1,1,1
10013,2025.0,1,1,1
10014,2025.0,2,2,2
10017,2023.0,2,1,2
10022,2023.0,1,1,1
10031,2024.0,1,1,1
10041,2024.0,1,1,1
10105,2025.0,1,1,1
10109,2023.0,1,1,1
10111,2025.0,1,1,1
10122,2023.0,1,1,1
10203,2024.0,1,1,1
10311,2023.0,1,1,1
10522,2024.0,1,1,1
1101,2023.0,1,1,1
11010,2024.0,1,1,1
11021,2023.0,1,1,1
11022,2023.0,1,1,1
11023,2025.0,1,1,1
1109,2024.0,1,1,1
1109,2025.0,1,1,1
11101,2024.0,1,1,1
11101,2025.0,1,1,1
11111,2023.0,1,1,1
11111,2025.0,1,1,1
11205,2024.0,1,1,1
11206,2023.0,1,1,1
11211,2023.0,1,1,1
11233,2024.0,1,1,1
11530,2023.0,1,1,1
11714,2023.0,1,1,1
11735,2023.0,1,1,1
11747,2023.0,1,1,1
11747,2025.0,1,1,1
11788,2024.0,1,1,1
11791,2023.0,1,1,1
11797,2024.0,1,1,1
12002,2023.0,1,1,1
12100,2023.0,1,1,1
12201,2024.0,1,1,1
12550,2023.0,1,1,1
12603,2024.0,1,1,1
13088,2024.0,1,1,1
13202,2023.0,1,1,1
13204,2024.0,1,1,1
13208,2023.0,1,1,1
14009,2023.0,1,1,1
14043,2023.0,1,1,1
14052,2023.0,1,1,1
14068,2024.0,3,3,3
14094,2023.0,2,2,2
14094,2024.0,2,2,2
14133,2023.0,1,1,1
14159,2025.0,2,2,2
14203,2024.0,1,1,1
14206,2023.0,1,1,1
14207,2023.0,1,1,1
14210,2023.0,1,1,1
14218,2024.0,3,3,3
14220,2025.0,1,1,1
14221,2023.0,4,4,4
14221,2024.0,2,2,2
14223,2023.0,1,1,1
14223,2025.0,1,1,1
14224,2023.0,1,1,1
14224,2024.0,1,1,1
14224,2025.0,2,2,2
14225,2023.0,2,2,2
14225,2024.0,1,1,1
14228,2023.0,2,2,2
14228,2025.0,2,2,2
14411,2023.0,1,1,1
14450,2023.0,1,1,1
