year,total_population,median_household_income,median_home_value,labor_force,state,zip_code
2015,11905.0,102254.0,434900.0,8061.0,17.0,60601.0
2016,13695.0,103735.0,463300.0,8581.0,17.0,60601.0
2017,13887.0,110215.0,502600.0,9124.0,17.0,60601.0
2018,14675.0,103243.0,499900.0,9828.0,17.0,60601.0
2019,15083.0,103112.0,519400.0,10017.0,17.0,60601.0
2020,14513.0,109625.0,540600.0,9232.0,17.0,60601.0
2021,14804.0,123115.0,519700.0,10309.0,17.0,60601.0
2022,16398.0,121294.0,556900.0,11234.0,17.0,60601.0
2023,16292.0,127323.0,495400.0,11174.0,17.0,60601.0
2024,16292.0,127323.0,495400.0,11174.0,17.0,60601.0
2025,16292.0,127323.0,495400.0,11174.0,17.0,60601.0
2015,1294.0,57368.0,339100.0,915.0,17.0,60602.0
2016,1252.0,85313.0,375400.0,875.0,17.0,60602.0
2017,1277.0,115774.0,-666666666.0,885.0,17.0,60602.0
2018,1244.0,157125.0,-666666666.0,931.0,17.0,60602.0
2019,1145.0,191528.0,-666666666.0,956.0,17.0,60602.0
2020,1596.0,226276.0,-666666666.0,1434.0,17.0,60602.0
2021,1142.0,235666.0,-666666666.0,939.0,17.0,60602.0
2022,938.0,167617.0,-666666666.0,712.0,17.0,60602.0
2023,1127.0,123047.0,383300.0,848.0,17.0,60602.0
2024,1127.0,123047.0,383300.0,848.0,17.0,60602.0
2025,1127.0,123047.0,383300.0,848.0,17.0,60602.0
2015,1076.0,122031.0,603300.0,683.0,17.0,60603.0
2016,1029.0,140500.0,613400.0,642.0,17.0,60603.0
2017,1197.0,140114.0,678900.0,747.0,17.0,60603.0
2018,1174.0,151765.0,676900.0,819.0,17.0,60603.0
2019,1052.0,146250.0,672700.0,695.0,17.0,60603.0
2020,1186.0,140125.0,499400.0,774.0,17.0,60603.0
2021,1275.0,114394.0,562500.0,824.0,17.0,60603.0
2022,1110.0,124888.0,757500.0,748.0,17.0,60603.0
2023,1126.0,128107.0,608100.0,772.0,17.0,60603.0
2024,1126.0,128107.0,608100.0,772.0,17.0,60603.0
2025,1126.0,128107.0,608100.0,772.0,17.0,60603.0
2015,545.0,151731.0,572000.0,387.0,17.0,60604.0
2016,619.0,150125.0,460400.0,432.0,17.0,60604.0
2017,668.0,114565.0,506800.0,482.0,17.0,60604.0
2018,782.0,116250.0,480000.0,547.0,17.0,60604.0
2019,823.0,91750.0,485900.0,599.0,17.0,60604.0
2020,729.0,58558.0,485900.0,525.0,17.0,60604.0
2021,687.0,67938.0,575000.0,446.0,17.0,60604.0
2022,737.0,76667.0,601300.0,488.0,17.0,60604.0
2023,653.0,77806.0,577700.0,440.0,17.0,60604.0
2024,653.0,77806.0,577700.0,440.0,17.0,60604.0
2025,653.0,77806.0,577700.0,440.0,17.0,60604.0
2015,27238.0,87668.0,352000.0,18608.0,17.0,60605.0
2016,26623.0,99725.0,378100.0,18628.0,17.0,60605.0
2017,26188.0,107811.0,387900.0,17866.0,17.0,60605.0
2018,27519.0,111164.0,395700.0,18837.0,17.0,60605.0
2019,29060.0,111438.0,398900.0,19330.0,17.0,60605.0
2020,30950.0,109194.0,404400.0,20697.0,17.0,60605.0
2021,32077.0,112162.0,414400.0,21532.0,17.0,60605.0
2022,34314.0,116462.0,480000.0,23214.0,17.0,60605.0
2023,34256.0,118403.0,495900.0,23504.0,17.0,60605.0
2024,34256.0,118403.0,495900.0,23504.0,17.0,60605.0
2025,34256.0,118403.0,495900.0,23504.0,17.0,60605.0
