zip_code,year,residential_permits,commercial_permits,retail_permits,residential_construction_cost,commercial_construction_cost,retail_construction_cost,reported_cost
60600,2006,0,0,0,0.0,0.0,0.0,21167000.0
60600,2007,1,0,0,50000.0,0.0,0.0,19608210.0
60600,2017,0,0,0,0.0,0.0,0.0,0.0
60600,2024,0,0,0,0.0,0.0,0.0,75.0
60600,2025,0,0,0,0.0,0.0,0.0,1200.0
60601,2006,32,63,24,88602868.0,28585972.0,15989216.0,165590072.0
60601,2007,28,42,14,154012279.87,29052424.87,44423003.87,231827603.87
60601,2008,0,5,0,0.0,4996000.0,0.0,8335570.0
60601,2009,0,1,3,0.0,750000.0,425000.0,1588241.0
60601,2010,0,3,1,0.0,2838000.0,25000.0,49401289.0
60601,2011,0,8,0,0.0,3020000.0,0.0,39117802.0
60601,2012,0,5,0,0.0,3548600.0,0.0,4418082.0
60601,2013,2,2,0,64550.0,1075000.0,0.0,1802037.0
60601,2014,0,3,0,0.0,1070000.0,0.0,1429145.0
60601,2015,2,1,2,342028.0,366697.0,225001.0,4824315.0
60601,2016,1,6,4,525000.0,3194000.0,2335000.0,10314000.0
60601,2017,4,5,1,1050000.0,3777772.0,500000.0,6415372.0
60601,2018,5,2,1,4740000.0,850000.0,100000.0,6320414.0
60601,2019,1,4,1,124289.0,3256989.0,500000.0,6316471.0
60601,2020,2,1,2,205000.0,363190.0,578190.0,1043124.0
60601,2021,2,9,5,123256.0,4285110.0,6170440.0,15029972.0
60601,2022,0,25,9,0.0,17228816.0,16196000.0,32518655.0
60601,2023,2,12,4,31663.0,12167000.0,2605000.0,20943696.0
60601,2024,62,16,8,2705097.0,16538128.0,16176961.0,27907374.75
60601,2025,41,28,33,2505489.0,13413165.0,6502246.0,53628844.0
60602,2006,22,130,65,10691400.0,99083923.0,49359800.0,335665982.0
60602,2007,45,66,40,28986700.0,111657293.0,24208255.0,508569669.0
60602,2008,7,5,6,1843500.0,918000.0,1140000.0,13245625.0
60602,2009,6,8,7,5252200.0,1518100.0,4617100.0,10317918.0
60602,2010,0,0,2,0.0,0.0,15500.0,453894.0
60602,2011,1,3,1,58000.0,3750000.0,100000.0,6639924.0
60602,2012,2,4,3,350050.0,2515000.0,1520000.0,15019266.0
60602,2013,1,4,0,1.0,1603000.0,0.0,6807408.0
60602,2014,1,3,0,15600.0,78500.0,0.0,7559158.0
60602,2015,5,2,1,20202.0,360000.0,45000.0,8855625.0
60602,2016,0,5,2,0.0,888137.0,209715.0,51286865.0
60602,2017,1,1,1,30000.0,110000.0,5000000.0,22018430.0
60602,2018,2,4,3,12250000.0,19642336.0,12115000.0,43432492.0
60602,2019,1,2,5,170000000.0,4487583.0,171385000.0,183029075.0
60602,2020,6,3,3,985075.0,3024371.0,1868000.0,15065431.0
60602,2021,7,1,1,4048951.0,35000.0,10000.0,15695982.0
60602,2022,8,5,2,7637400.0,8420000.0,6265000.0,34851280.0
60602,2023,21,6,6,34758500.0,34908712.0,5450460.0,115386128.0
60602,2024,20,10,8,33673166.0,35515185.0,15660881.0,144831339.0
60602,2025,34,11,14,46222187.0,54608837.0,27552640.0,147150417.0
60603,2006,8,107,8,14782545.0,22133349.0,1306600.0,362725245.0
60603,2007,3,100,10,1515500.0,21617713.0,4982000.0,176193734.0
60603,2008,1,3,0,9000000.0,1655950.0,0.0,12125951.0
60603,2009,5,3,1,700870.0,1005523.0,200000.0,6405577.0
60603,2010,1,4,0,103000000.0,339970.0,0.0,109091129.0
60603,2011,3,7,6,604500.0,4526000.0,5044402.0,25904133.0
60603,2012,0,10,2,0.0,3741070.0,118702.0,23917597.0
60603,2013,1,7,1,20000.0,3956250.0,400000.0,5734222.0
60603,2014,0,4,0,0.0,918050.0,0.0,7462500.0
60603,2015,1,0,0,500.0,0.0,0.0,346455.0
60603,2016,0,8,1,0.0,2611750.0,250000.0,4278495.0
60603,2017,4,6,1,23827950.0,9770830.0,50000.0,55017432.0
60603,2018,3,4,2,1835800.0,4230630.0,50001.0,10147339.0
60603,2019,1,4,0,200000.0,1405071.0,0.0,5238646.0
60603,2020,2,1,2,26080000.0,988650.0,26988650.0,27192454.0
60603,2021,1,4,2,150000.0,2611950.0,12055000.0,17967440.0
