zip_code,retail_business_count
0None,7
46322,1
60057,1
60089,1
60110,1
60212,1
60601,199
60602,77
60603,120
60604,73
60605,177
60606,203
60607,349
60608,337
60609,244
60610,238
60611,394
60612,148
60613,253
60614,430
60615,124
60616,323
60617,202
60618,404
60619,199
60620,170
60621,73
60622,373
60623,228
60624,99
60625,324
60626,160
60628,153
60629,236
60630,181
60631,73
60632,314
60633,18
60634,228
60636,115
60637,126
60638,200
60639,335
60640,290
60641,214
60642,166
60643,127
60644,114
60645,70
60646,66
60647,479
60649,100
60651,164
60652,92
60653,85
60654,268
60655,47
60656,41
60657,362
60659,220
60660,154
60661,166
60666,179
60707,67
60827,4
61414,2
62269,1
