year,retail_permits,retail_construction_cost,retail_space,retail_space_per_capita,retail_spending_potential,retail_gap,retail_permits_change,retail_construction_cost_change,retail_space_change,retail_space_per_capita_change,retail_spending_potential_change,retail_gap_change
2006,1719,973414382.55,3438000,0.0,0.0,0.0,,,,,,
2007,1588,862302315.21,3176000,0.0,0.0,0.0,-0.07620709714950558,-0.11414672859972108,-0.07620709714950558,,,
2008,1409,585094388.48,2818000,0.0,0.0,0.0,-0.11272040302267006,-0.3214741765624164,-0.11272040302267006,,,
2009,126,39579163.01,252000,0.0,0.0,0.0,-0.9105748757984387,-0.9323542255928627,-0.9105748757984387,,,
2010,28,2915509.0,56000,0.0,0.0,0.0,-0.7777777777777778,-0.9263372750135375,-0.7777777777777778,,,
2011,15,1973400.0,30000,0.0,0.0,0.0,-0.4642857142857143,-0.32313705771445056,-0.4642857142857143,,,
2012,15,52907.0,30000,0.0,0.0,0.0,0.0,-0.973189926016013,0.0,,,
2013,19,1098500.0,38000,0.0,0.0,0.0,0.2666666666666666,19.762848016330544,0.2666666666666666,,,
2014,12,16113829.0,24000,0.0,0.0,0.0,-0.368421052631579,13.668938552571689,-0.368421052631579,,,
2015,20,265489.0,40000,0.002079277197906729,29601869134.5,29601800834.5,0.6666666666666667,-0.9835241518325657,0.6666666666666667,inf,inf,inf
2016,15,18311798.0,30000,0.0327519505448202,37961355736.5,37943083186.5,-0.25,67.9738482573666,-0.25,14.751603767786506,0.2823972555252363,0.2817829360664601
2017,28,11264779.0,56000,0.02781203707433277,39875329963.5,39867133435.5,0.8666666666666667,-0.3848349026130585,0.8666666666666667,-0.15082806942222515,0.05041901665170778,0.050708853562131395
2018,27,9382056.0,54000,0.0033408957945155852,42305116461.3,42297960261.3,-0.0357142857142857,-0.16713359401014438,-0.0357142857142857,-0.8798759046097044,0.060934580353920964,0.060973203145713306
2019,29,772062.0,58000,0.022265867088022022,44685214753.2,44684979303.2,0.07407407407407418,-0.9177086557573308,0.07407407407407418,5.664639802466653,0.056260294049237825,0.0564334314740933
2020,19,4404275.0,38000,0.002966742236048591,46955064051.9,46952885051.9,-0.3448275862068966,4.704561291709733,-0.3448275862068966,-0.8667582886253481,0.05079642810796736,0.05075320127847971
2021,20,63906277.0,40000,0.04037226069276767,49532639180.1,49469379180.1,0.05263157894736836,13.510056025111965,0.05263157894736836,12.608280558455107,0.054894507764933875,0.05359615549541541
2022,24,5044731.0,48000,0.024169958123180405,53214854046.9,53210934855.9,0.19999999999999996,-0.9210604773612457,0.19999999999999996,-0.40132264806488194,0.0743391615660034,0.07563377058317955
2023,20,12111454.0,40000,0.0014667740375680315,44261247463.8,44251166463.8,-0.16666666666666663,1.4008126498717175,-0.16666666666666663,-0.9393141671949646,-0.16825389721465533,-0.1683820894401472
2024,27,4926265.0,54000,0.0,0.0,0.0,0.3500000000000001,-0.5932556900269778,0.3500000000000001,-1.0,-1.0,-1.0
2025,6,322593.0,12000,0.0,0.0,0.0,-0.7777777777777778,-0.9345157030732207,-0.7777777777777778,,,
