address,city,state
4517 N SPRINGFIELD AVE,CHICAGO,I
5207 S ARCHER AVE,CHICAGO,LIL
2437 W LEXINGTON ST,CHICAGO,IL60612
616 W DIVERSEY PKWY,CHICAGO,IL60614
7842 S STEWART AVE,CHICAGO,I
3802 S WOLCOTT AVE,CHICAGO,L
4420 W MAYPOLE AVE,CHICAGO,I
3125 S SHIELDS AVE,CHICAGO,ILK
5125 W CORNELIA AVE,CHICAGO,ILK
3129 N CHRISTIANA AVE,CHICAGO,I
4514 N WOLCOTT AVE,Chicago,LINCOLNWOOD
1476 S PRAIRIE AVE,CHICAGO,IK
5206 S PEORIA ST,CHICAGO,IKL
709 S SACRAMENTO BLVD,CHICAGO,IKL
1434 E 63RD ST,CHICAGO,IOL
120 S RIVERSIDE PLZ,CHICAGO,WI
7124 S GREEN ST,CHICAGO,IOL
5520 S PARKSIDE AVE,CHICAGO,1L
1768 W GREENLEAF AVE,CHICAGO,ID
5747 S ELLIS AVE,CHICAGO,I
