indicator,description,date,value
CHIC917URN,Chicago Unemployment Rate,1990-01-01,6.9
CHIC917URN,Chicago Unemployment Rate,1990-02-01,6.6
CHIC917URN,Chicago Unemployment Rate,1990-03-01,6.3
CHIC917URN,Chicago Unemployment Rate,1990-04-01,6.6
CHIC917URN,Chicago Unemployment Rate,1990-05-01,6.2
CHIC917URN,Chicago Unemployment Rate,1990-06-01,6.4
CHIC917URN,Chicago Unemployment Rate,1990-07-01,6.5
CHIC917URN,Chicago Unemployment Rate,1990-08-01,6.5
CHIC917URN,Chicago Unemployment Rate,1990-09-01,6.4
CHIC917URN,Chicago Unemployment Rate,1990-10-01,6.0
CHIC917URN,Chicago Unemployment Rate,1990-11-01,6.1
CHIC917URN,Chicago Unemployment Rate,1990-12-01,6.3
CHIC917URN,Chicago Unemployment Rate,1991-01-01,7.2
CHIC917URN,Chicago Unemployment Rate,1991-02-01,7.1
CHIC917URN,Chicago Unemployment Rate,1991-03-01,7.2
CHIC917URN,Chicago Unemployment Rate,1991-04-01,6.8
CHIC917URN,Chicago Unemployment Rate,1991-05-01,7.0
CHIC917URN,Chicago Unemployment Rate,1991-06-01,7.6
CHIC917URN,Chicago Unemployment Rate,1991-07-01,7.3
CHIC917URN,Chicago Unemployment Rate,1991-08-01,7.3
CHIC917URN,Chicago Unemployment Rate,1991-09-01,7.3
CHIC917URN,Chicago Unemployment Rate,1991-10-01,7.5
CHIC917URN,Chicago Unemployment Rate,1991-11-01,8.1
CHIC917URN,Chicago Unemployment Rate,1991-12-01,8.5
CHIC917URN,Chicago Unemployment Rate,1992-01-01,9.2
CHIC917URN,Chicago Unemployment Rate,1992-02-01,9.1
CHIC917URN,Chicago Unemployment Rate,1992-03-01,8.7
CHIC917URN,Chicago Unemployment Rate,1992-04-01,8.3
CHIC917URN,Chicago Unemployment Rate,1992-05-01,8.5
CHIC917URN,Chicago Unemployment Rate,1992-06-01,9.0
CHIC917URN,Chicago Unemployment Rate,1992-07-01,8.3
CHIC917URN,Chicago Unemployment Rate,1992-08-01,7.5
CHIC917URN,Chicago Unemployment Rate,1992-09-01,7.2
CHIC917URN,Chicago Unemployment Rate,1992-10-01,6.6
CHIC917URN,Chicago Unemployment Rate,1992-11-01,7.1
CHIC917URN,Chicago Unemployment Rate,1992-12-01,7.4
CHIC917URN,Chicago Unemployment Rate,1993-01-01,8.3
CHIC917URN,Chicago Unemployment Rate,1993-02-01,8.4
CHIC917URN,Chicago Unemployment Rate,1993-03-01,8.3
CHIC917URN,Chicago Unemployment Rate,1993-04-01,8.1
CHIC917URN,Chicago Unemployment Rate,1993-05-01,8.2
CHIC917URN,Chicago Unemployment Rate,1993-06-01,8.6
CHIC917URN,Chicago Unemployment Rate,1993-07-01,7.7
CHIC917URN,Chicago Unemployment Rate,1993-08-01,7.4
CHIC917URN,Chicago Unemployment Rate,1993-09-01,7.3
CHIC917URN,Chicago Unemployment Rate,1993-10-01,7.0
CHIC917URN,Chicago Unemployment Rate,1993-11-01,6.5
CHIC917URN,Chicago Unemployment Rate,1993-12-01,6.5
CHIC917URN,Chicago Unemployment Rate,1994-01-01,7.8
CHIC917URN,Chicago Unemployment Rate,1994-02-01,7.4
CHIC917URN,Chicago Unemployment Rate,1994-03-01,7.0
CHIC917URN,Chicago Unemployment Rate,1994-04-01,6.4
CHIC917URN,Chicago Unemployment Rate,1994-05-01,5.9
CHIC917URN,Chicago Unemployment Rate,1994-06-01,6.2
CHIC917URN,Chicago Unemployment Rate,1994-07-01,5.9
CHIC917URN,Chicago Unemployment Rate,1994-08-01,5.7
CHIC917URN,Chicago Unemployment Rate,1994-09-01,5.3
CHIC917URN,Chicago Unemployment Rate,1994-10-01,5.4
CHIC917URN,Chicago Unemployment Rate,1994-11-01,5.0
CHIC917URN,Chicago Unemployment Rate,1994-12-01,4.9
CHIC917URN,Chicago Unemployment Rate,1995-01-01,6.0
CHIC917URN,Chicago Unemployment Rate,1995-02-01,5.9
CHIC917URN,Chicago Unemployment Rate,1995-03-01,5.7
CHIC917URN,Chicago Unemployment Rate,1995-04-01,6.1
CHIC917URN,Chicago Unemployment Rate,1995-05-01,5.6
CHIC917URN,Chicago Unemployment Rate,1995-06-01,5.5
CHIC917URN,Chicago Unemployment Rate,1995-07-01,5.5
CHIC917URN,Chicago Unemployment Rate,1995-08-01,5.5
CHIC917URN,Chicago Unemployment Rate,1995-09-01,5.1
CHIC917URN,Chicago Unemployment Rate,1995-10-01,4.8
CHIC917URN,Chicago Unemployment Rate,1995-11-01,4.8
CHIC917URN,Chicago Unemployment Rate,1995-12-01,5.0
CHIC917URN,Chicago Unemployment Rate,1996-01-01,6.0
CHIC917URN,Chicago Unemployment Rate,1996-02-01,5.7
CHIC917URN,Chicago Unemployment Rate,1996-03-01,5.6
CHIC917URN,Chicago Unemployment Rate,1996-04-01,5.6
CHIC917URN,Chicago Unemployment Rate,1996-05-01,5.6
CHIC917URN,Chicago Unemployment Rate,1996-06-01,5.8
CHIC917URN,Chicago Unemployment Rate,1996-07-01,5.7
CHIC917URN,Chicago Unemployment Rate,1996-08-01,5.3
CHIC917URN,Chicago Unemployment Rate,1996-09-01,5.0
CHIC917URN,Chicago Unemployment Rate,1996-10-01,4.7
CHIC917URN,Chicago Unemployment Rate,1996-11-01,4.7
CHIC917URN,Chicago Unemployment Rate,1996-12-01,4.9
CHIC917URN,Chicago Unemployment Rate,1997-01-01,5.8
CHIC917URN,Chicago Unemployment Rate,1997-02-01,5.6
CHIC917URN,Chicago Unemployment Rate,1997-03-01,5.4
CHIC917URN,Chicago Unemployment Rate,1997-04-01,5.0
CHIC917URN,Chicago Unemployment Rate,1997-05-01,4.4
CHIC917URN,Chicago Unemployment Rate,1997-06-01,5.0
CHIC917URN,Chicago Unemployment Rate,1997-07-01,4.9
CHIC917URN,Chicago Unemployment Rate,1997-08-01,4.8
CHIC917URN,Chicago Unemployment Rate,1997-09-01,4.7
CHIC917URN,Chicago Unemployment Rate,1997-10-01,4.6
