zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 152,5,1,122578.920779,122578.920779,60601
PD 1222,5,1,231014.02874,231014.02874,60601
PD 1286,5,1,26683.3029184,26683.3029184,60601
PD 646,5,1,114698.735507,114698.735507,60601
PD 392,5,1,139980.343385,139980.343385,60601
PD 1287,5,1,225787.262814,225787.262814,60601
PD 1492,5,1,23763.0255806,23763.0255806,60601
PD 322,5,1,450339.218701,450339.218701,60601
PD 1055,5,1,575932.427341,575932.427341,60601
PD 988,5,1,69199.2178661,69199.2178661,60601
PD 1277,5,1,25457.4013178,25457.4013178,60601
PD 226,5,1,17799.1164353,17799.1164353,60601
PD 1476,5,1,270429.232562,270429.232562,60601
PD 1495,5,1,59612.7812939,59612.7812939,60601
PD 108,5,1,325525.522644,325525.522644,60601
PD 272,5,1,455241.483242,455241.483242,60601
PD 717,5,1,97057.1721731,97057.1721731,60601
PD 663,5,1,1269519.62674,1269519.62674,60601
PD 92,5,1,756146.508589,756146.508589,60601
PD 656,5,1,169006.555834,169006.555834,60601
B3-2,4,1,4381.23886752,4381.23886752,60601
RM4-.5,4,1,5260.81303558,5260.81303558,60601
PD 1165,5,1,1590030.42299,1590030.42299,60601
PD 912,5,1,529492.466742,529492.466742,60601
PD 1501,5,1,76765.1498403,76765.1498403,60601
PD 1270,5,1,56944.6973333,56944.6973333,60601
PD 1279,5,1,77481.4739511,77481.4739511,60601
PD 1293,5,1,101729.677142,101729.677142,60601
PD 1543,5,1,58062.3884418,58062.3884418,60601
PD 206,5,1,90738.926741,90738.926741,60601
PD 166,5,1,297162.660085,297162.660085,60601
PD 394,5,1,74309.3341576,74309.3341576,60601
PD 1465,5,1,31199.0796953,31199.0796953,60601
PD 1541,5,1,22090.9210762,22090.9210762,60601
PD 123,5,1,331376.471836,331376.471836,60601
PD 708,5,1,155025.447098,155025.447098,60601
PD 1535,5,1,36471.6447928,36471.6447928,60601
PD 1498,5,1,36191.5973933,36191.5973933,60601
PD 16,5,1,758331.336058,758331.336058,60601
PD 681,5,1,91231.7757424,91231.7757424,60601
PD 1158,5,1,912911.244995,912911.244995,60601
PD 675,5,1,347112.819327,347112.819327,60601
PD 1432,5,1,42198.1657913,42198.1657913,60601
PD 1470,5,1,81673.9831258,81673.9831258,60601
PD 1031,5,1,102560.429231,102560.429231,60601
PD 1570,5,1,126934.774834,126934.774834,60601
PD 1509,5,1,3242326.74307,3242326.74307,60601
PD 495,5,1,1482660.00562,1482660.00562,60601
PD 240,5,1,43153.0424542,43153.0424542,60601
PD 1081,5,1,59503.8867356,59503.8867356,60601
C1-1,2,530,80245.23447723703,42529974.27293563,60601
PD 1067,5,1,94532.7865945,94532.7865945,60601
PD 856,5,1,56178.943959,56178.943959,60601
PD 498,5,1,40689.5408259,40689.5408259,60601
PD 837,5,1,295558.482299,295558.482299,60601
PD 761,5,1,120089.892396,120089.892396,60601
PD 554,5,1,206361.761537,206361.761537,60601
PD 609,5,1,72122.1801099,72122.1801099,60601
PD 830,5,1,158880.210017,158880.210017,60601
PD 215,5,1,174961.396711,174961.396711,60601
PD 333,5,1,52181.2013772,52181.2013772,60601
PD 671,5,1,192511.80379,192511.80379,60601
PD 722,5,1,74410.3809772,74410.3809772,60601
PD 1268,5,1,116648.986071,116648.986071,60601
PD 1521,5,1,44079.4383497,44079.4383497,60601
PD 942,5,1,115989.532276,115989.532276,60601
PD 1418,5,1,38742.2632136,38742.2632136,60601
PD 500,5,1,101668.885024,101668.885024,60601
PD 879,5,1,143972.262581,143972.262581,60601
PD 1337,5,1,119644.604419,119644.604419,60601
PD 1039,5,1,65365.1035211,65365.1035211,60601
PD 175,5,1,420793.856778,420793.856778,60601
PD 466,5,1,153639.184516,153639.184516,60601
PD 730,5,1,40655.8367467,40655.8367467,60601
PD 348,5,1,39046.0809379,39046.0809379,60601
PD 130,5,1,385078.734707,385078.734707,60601
PD 1447,5,1,48220.6517419,48220.6517419,60601
PD 622,5,1,50396.1477576,50396.1477576,60601
PD 170,5,1,21171.2016682,21171.2016682,60601
PD 520,5,1,32135.3238589,32135.3238589,60601
PD 725,5,1,32674.1033189,32674.1033189,60601
C2-1,1,1,60302.8597759,60302.8597759,60601
PD 645,5,1,104318.266271,104318.266271,60601
PD 924,5,1,330189.415169,330189.415169,60601
PD 379,5,1,46262.4244669,46262.4244669,60601
PD 496,5,1,85824.3773792,85824.3773792,60601
PD 1034,5,1,96500.1382101,96500.1382101,60601
PD 572,5,1,146131.524585,146131.524585,60601
C1-3,2,222,78707.539929333,17473073.864311926,60601
PD 1571,5,1,58373.7594301,58373.7594301,60601
PD 51,5,1,311326.554342,311326.554342,60601
PD 546,5,1,667735.053191,667735.053191,60601
PD 6,5,1,1606894.18439,1606894.18439,60601
PD 1413,5,1,667006.373108,667006.373108,60601
PD 1215,5,2,101881.074011055,203762.14802211,60601
PD 743,5,1,103799.217347,103799.217347,60601
PD 44,5,1,997801.793533,997801.793533,60601
PD 145,5,1,644451.167128,644451.167128,60601
PD 284,5,1,45613.4594685,45613.4594685,60601
PD 1374,5,1,62377.0735997,62377.0735997,60601
PD 70,5,1,3087355.80849,3087355.80849,60601
PD 1241,5,1,102039.39412,102039.39412,60601
PD 1426,5,1,1659650.66998,1659650.66998,60601
PD 595,5,1,250822.479626,250822.479626,60601
PD 8,5,1,8111441.8936,8111441.8936,60601
PD 633,5,1,21712.8034154,21712.8034154,60601
PD 679,5,1,62937.3153382,62937.3153382,60601
PD 1589,5,1,396632.836514,396632.836514,60601
PD 549,5,1,3760300.8962,3760300.8962,60601
PD 1214,5,1,95894.0476825,95894.0476825,60601
PD 1524,5,1,42524.4614103,42524.4614103,60601
PD 1536,5,1,54303.7727908,54303.7727908,60601
PD 565,5,1,118822.993752,118822.993752,60601
PD 1389,5,1,38482.4067793,38482.4067793,60601
PD 157,5,1,367369.26345,367369.26345,60601
PD 1454,5,1,1488383.21021,1488383.21021,60601
PD 1424,5,1,3498088.39531,3498088.39531,60601
PD 1344,5,1,132962.990136,132962.990136,60601
PD 674,5,1,909064.589432,909064.589432,60601
PD 1314,5,1,41068.9721862,41068.9721862,60601
PD 1510,5,1,100315.560292,100315.560292,60601
PD 1265,5,1,32551.5442259,32551.5442259,60601
PD 208,5,1,657632.103616,657632.103616,60601
PD 1437,5,1,61036.1323793,61036.1323793,60601
PD 1469,5,1,83987.1150576,83987.1150576,60601
PD 866,5,1,198389.153792,198389.153792,60601
PD 855,5,1,101707.205691,101707.205691,60601
PD 930,5,1,69081.9781615,69081.9781615,60601
PD 532,5,1,58126.4384163,58126.4384163,60601
PD 1200,5,1,176311.199861,176311.199861,60601
PD 1588,5,1,91329.3297494,91329.3297494,60601
PD 476,5,1,59313.9297432,59313.9297432,60601
PD 1531,5,1,29687.0109294,29687.0109294,60601
PD 1052,5,1,122517.018576,122517.018576,60601
B3-3,2,1,31944.9175765,31944.9175765,60601
PD 1223,5,1,220482.571688,220482.571688,60601
PD 463,5,1,1248511.54059,1248511.54059,60601
PD 484,5,1,533675.871597,533675.871597,60601
PD 1530,5,1,118385.27242,118385.27242,60601
PD 1563,5,1,30286.6298806,30286.6298806,60601
PD 1328,5,1,48405.642268,48405.642268,60601
PD 261,5,1,65025.3336725,65025.3336725,60601
PD 653,5,1,220709.023468,220709.023468,60601
PD 1232,5,1,45867.4464424,45867.4464424,60601
PD 517,5,1,218703.168084,218703.168084,60601
PD 1111,5,1,175706.419585,175706.419585,60601
PD 816,5,1,34737.8588396,34737.8588396,60601
PD 271,5,1,49453.5086216,49453.5086216,60601
PD 267,5,1,302275.671123,302275.671123,60601
PD 629,5,1,109253.632403,109253.632403,60601
PD 380,5,1,95846.3950619,95846.3950619,60601
PD 300,5,1,484616.292818,484616.292818,60601
PD 1151,5,1,199475.050161,199475.050161,60601
PD 985,5,1,131780.919845,131780.919845,60601
PD 1360,5,1,49671.2712656,49671.2712656,60601
PD 188,5,1,491629.023843,491629.023843,60601
PD 1353,5,1,34346.2934468,34346.2934468,60601
PD 1397,5,1,1212531.10979,1212531.10979,60601
PD 1116,5,1,38946.3669005,38946.3669005,60601
PD 644,5,1,357656.488916,357656.488916,60601
PD 745,5,1,23871.9782155,23871.9782155,60601
PD 398,5,1,179656.172488,179656.172488,60601
PD 812,5,1,103562.941636,103562.941636,60601
PD 1192,5,1,202053.888533,202053.888533,60601
PD 1325,5,1,38998.223728,38998.223728,60601
PD 140,5,1,254758.542411,254758.542411,60601
PD 1377,5,1,149394.367557,149394.367557,60601
PD 602,5,1,77346.7436136,77346.7436136,60601
PD 1267,5,1,21701.8564564,21701.8564564,60601
PD 1171,5,1,104142.050836,104142.050836,60601
PD 1147,5,1,193230.316921,193230.316921,60601
PD 84,5,1,190371.354397,190371.354397,60601
PD 1261,5,1,759432.308184,759432.308184,60601
PD 1477,5,1,45056.4201885,45056.4201885,60601
PD 366,5,1,12994.2112293,12994.2112293,60601
PD 1098,5,1,55551.8570809,55551.8570809,60601
PD 955,5,1,193797.953364,193797.953364,60601
PD 1357,5,1,66627.525651,66627.525651,60601
PD 949,5,1,71800.4269957,71800.4269957,60601
PD 1289,5,1,346501.64064,346501.64064,60601
B2-1,1,86,20059.020036867907,1725075.72317064,60601
B2-3,2,2,4550.209960935,9100.41992187,60601
PD 381,5,1,174245.317518,174245.317518,60601
PD 928,5,1,13143.6040095,13143.6040095,60601
PD 575,5,1,74945.1836965,74945.1836965,60601
PD 976,5,1,45792.2110791,45792.2110791,60601
PD 23,5,2,434848.2178745,869696.435749,60601
PD 1395,5,1,263196.309252,263196.309252,60601
PD 797,5,1,351579.174363,351579.174363,60601
PD 96,5,1,233037.009303,233037.009303,60601
RS-3,4,1010,1258895.01831075,1271483968.4938571,60601
PD 1189,5,1,214728.945037,214728.945037,60601
PD 1209,5,1,63602.493053,63602.493053,60601
PD 1166,5,1,221634.5924,221634.5924,60601
PD 534,5,1,362048.926339,362048.926339,60601
PD 1169,5,1,3813923.58265,3813923.58265,60601
PD 136,5,2,456205.003482,912410.006964,60601
PD 65,5,1,184680.673075,184680.673075,60601
PD 1539,5,1,657356.933183,657356.933183,60601
PD 415,5,1,140630.845894,140630.845894,60601
PD 953,5,1,42518.7899023,42518.7899023,60601
PD 1005,5,1,53322.0599189,53322.0599189,60601
PD 102,5,1,768756.798475,768756.798475,60601
PD 627,5,1,398920.084334,398920.084334,60601
DR-3,4,1,80332.4433395,80332.4433395,60601
DR-3,9,22,87052.30074206,1915150.61632532,60601
PD 1315,5,1,1739045.02232,1739045.02232,60601
PD 814,5,1,177491.480829,177491.480829,60601
PD 437,5,1,756365.33035,756365.33035,60601
PD 1104,5,1,52568.1244973,52568.1244973,60601
PD 746,5,1,20646.9724151,20646.9724151,60601
PD 956,5,1,60702.9582877,60702.9582877,60601
PD 1303,5,1,41601.3876328,41601.3876328,60601
PD 219,5,1,192209.061478,192209.061478,60601
PD 1299,5,1,17873.8896072,17873.8896072,60601
PD 515,5,1,111139.903175,111139.903175,60601
PD 1164,5,1,128987.820382,128987.820382,60601
PD 268,5,1,41611.8809088,41611.8809088,60601
PD 384,5,1,71165.7975492,71165.7975492,60601
PD 171,5,1,364210.568499,364210.568499,60601
PD 690,5,1,123839.848418,123839.848418,60601
PD 615,5,1,102351.180459,102351.180459,60601
PD 845,5,1,80173.3310301,80173.3310301,60601
PD 430,5,1,352279.862286,352279.862286,60601
PD 242,5,1,63913.1678568,63913.1678568,60601
PD 1392,5,1,73095.7672791,73095.7672791,60601
PD 36,5,1,94391.7084899,94391.7084899,60601
PD 368,5,1,2809657.83092,2809657.83092,60601
PD 35,5,1,218976.234017,218976.234017,60601
PD 234,5,1,84013.1341993,84013.1341993,60601
PD 1558,5,1,46294.3968193,46294.3968193,60601
