baseline,optimistic,neutral,pessimistic,zip_code,optimistic_impact,neutral_impact,pessimistic_impact,max_impact
4674216.394272371,4674216.394272371,4674216.394272371,4674216.394272371,60601,0.0,0.0,0.0,0.0
5457287.701576126,5457287.701576126,5457287.701576126,5457287.701576126,60601,0.0,0.0,0.0,0.0
5476077.385788042,5476077.385788042,5476077.385788042,5476077.385788042,60601,0.0,0.0,0.0,0.0
6335714.646547739,6335714.646547739,6335714.646547739,6335714.646547739,60601,0.0,0.0,0.0,0.0
6335714.646547739,6335714.646547739,6335714.646547739,6335714.646547739,60601,0.0,0.0,0.0,0.0
966269.6281403982,966269.6281403982,966269.6281403982,966269.6281403982,60601,0.0,0.0,0.0,0.0
14593702.057706388,14593702.057706388,14593702.057706388,14593702.057706388,60601,0.0,0.0,0.0,0.0
32101886.594740957,32101886.594740957,32101886.594740957,32101886.594740957,60601,0.0,0.0,0.0,0.0
19700220.780219305,19700220.780219305,19700220.780219305,19700220.780219305,60601,0.0,0.0,0.0,0.0
9266155.482517863,9266155.482517863,9266155.482517863,9266155.482517863,60602,0.0,0.0,0.0,0.0
