feature,importance
per_capita_income,0.49354583192183843
personal_income,0.26238776236920536
year,0.19029584179687642
unemployment_rate_change,0.01576258933657726
per_capita_income_change,0.010313640015044792
personal_income_change,0.010224779862330913
unemployment_rate,0.009042618417195065
gdp_change,0.008426936280930867
total_construction_cost,1.2418268099264856e-16
total_population,9.572246386831543e-17
residential_cost_ratio,8.045392182613542e-17
zip_code,6.26427011188982e-17
total_permits,5.967599401358122e-17
housing_units,5.1842653623172156e-17
commercial_permit_ratio,3.960944872309147e-17
retail_permits_change,3.6541428120493484e-17
residential_permits_change,3.436520854261354e-17
total_population_change,3.3085368250799643e-17
retail_cost_ratio,2.820631594030506e-17
total_construction_cost_change,2.6786442390261112e-17
renovation_permits,2.439469041680675e-17
retail_permits,1.5714474753166423e-17
labor_force,1.5223315000077325e-17
labor_force_change,1.522245887418855e-17
commercial_construction_cost_change,1.315829500202639e-17
commercial_permits,1.2825186497884672e-17
median_household_income_change,1.0098482773118796e-17
commercial_permits_change,8.73423861265798e-18
commercial_construction_cost,7.454922891104262e-18
residential_construction_cost_change,6.732598381290489e-18
retail_construction_cost_change,6.443749764305317e-18
commercial_cost_ratio,6.382438872115253e-18
retail_construction_cost,5.956067446886431e-18
residential_permits,3.785404846180261e-18
new_construction_permits,2.4803980127332443e-18
median_household_income,1.3136624384793598e-18
total_permits_change,1.215217491104976e-18
housing_units_change,8.456924384566251e-19
other_permits,7.267358347318836e-19
median_home_value,1.390591442005908e-19
residential_construction_cost,7.961643145654127e-21
retail_permit_ratio,-4.377675821785224e-19
residential_permit_ratio,-5.528874454589428e-18
zip code tabulation area,-5.9404879329598876e-18
median_home_value_change,-3.390409200349195e-17
