scenario,gdp_prediction,year,zip_code,total_permits_adjustment,residential_permits_adjustment,commercial_permits_adjustment,retail_permits_adjustment,total_construction_cost_adjustment,residential_construction_cost_adjustment,commercial_construction_cost_adjustment,retail_construction_cost_adjustment,gdp_impact,gdp_impact_pct
optimistic,640545.6302458871,2015,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60601,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60602,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60603,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60604,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
