feature,importance
residential_construction_cost,0.7812941869616185
total_permits,0.21358670635594265
retail_permits,0.0037057804586781403
commercial_permits,0.0011887510166857396
permit_id,7.018605362911314e-05
total_cost,5.300982708763318e-05
street_number,4.4114614156792376e-05
ward,2.3984334556206292e-05
total_fee,2.086438895813405e-05
issue_date_month,6.243914809561285e-06
xcoordinate,4.646731148959093e-06
longitude,1.5253427140771837e-06
retail_construction_cost,3.1946105541695404e-15
year,2.1409422269837525e-15
latitude,2.077073381325596e-15
community_area,2.0228532258611347e-15
total_licenses,1.2213818942524182e-15
unique_businesses,1.0639869214821414e-15
commercial_construction_cost,1.0615064511104618e-15
active_licenses,1.0073814352875366e-15
ycoordinate,7.894666943796328e-16
issue_date_year,0.0
median_home_value,0.0
state,0.0
labor_force,0.0
zip code tabulation area,0.0
median_household_income,0.0
census_tract,0.0
total_population,0.0
