feature,importance
retail_construction_cost,0.6742232484271189
total_permits,0.3152275255788356
residential_permits,0.006244613004815629
commercial_permits,0.002286850548100107
total_cost,0.0018725797465259624
permit_id,6.633570075605179e-05
total_fee,2.00200233471596e-05
latitude,1.6584527515217894e-05
xcoordinate,1.1394931048432244e-05
issue_date_month,8.206226975464901e-06
census_tract,7.796405753978666e-06
ward,5.90779524544615e-06
issue_date_year,3.3304118805446966e-06
street_number,2.4127092297506018e-06
ycoordinate,1.6071546155198913e-06
longitude,1.586808234181763e-06
commercial_construction_cost,1.1071051544319955e-15
year,3.370944377435475e-16
active_licenses,2.7236014679148505e-16
residential_construction_cost,2.1221092291882805e-16
total_licenses,1.0432935869994669e-16
unique_businesses,4.032658903439064e-17
median_home_value,0.0
community_area,0.0
labor_force,0.0
state,0.0
zip code tabulation area,0.0
median_household_income,0.0
total_population,0.0
