feature,importance
per_capita_income,0.48646009863014816
personal_income,0.2602476213521829
year,0.18630111510649097
unemployment_rate_change,0.027639641265747913
gdp_change,0.014005194797520035
personal_income_change,0.011657957315351106
unemployment_rate,0.008407302163061818
per_capita_income_change,0.005281069369496463
total_permits_change,1.0157434510242553e-16
zip code tabulation area,9.534235705770071e-17
total_population,8.470849764916272e-17
total_population_change,6.200467755673369e-17
median_household_income_change,5.68037898151312e-17
median_home_value_change,4.0435786715139197e-17
median_household_income,3.5956936842115957e-17
other_permits,3.4666773255491355e-17
zip_code,3.4132726525274044e-17
median_home_value,3.283346050366331e-17
retail_permits,2.832079936827825e-17
labor_force,2.609112793188229e-17
retail_construction_cost_change,1.6540106826943215e-17
housing_units_change,1.5457636320211548e-17
retail_permits_change,1.2215978638764846e-17
renovation_permits,1.1928250390503742e-17
total_construction_cost_change,7.487127828909324e-18
retail_construction_cost,6.694181056614911e-18
total_construction_cost,3.2451548208589983e-18
residential_construction_cost_change,1.6021370274797163e-18
retail_cost_ratio,8.64780647674689e-19
residential_permits_change,3.006891367040769e-19
retail_permit_ratio,1.5330516276652179e-19
commercial_construction_cost_change,8.859752012079838e-20
commercial_permits_change,1.0732633700845443e-20
housing_units,0.0
residential_cost_ratio,0.0
residential_permits,0.0
new_construction_permits,0.0
commercial_cost_ratio,0.0
commercial_permit_ratio,0.0
residential_permit_ratio,0.0
commercial_construction_cost,0.0
residential_construction_cost,0.0
commercial_permits,0.0
labor_force_change,-6.489997738727223e-18
total_permits,-6.951302321579761e-18
