zip_code,historical_permits,historical_units,recent_permits,recent_units,permit_growth,unit_growth,total_permits,total_units,activity_score,growth_component,unit_component,growth_score
60602,42.0,49.0,43,87.0,0.023809523809523808,0.7755102040816326,85.0,136.0,0.9444444444444444,0.5119047619047619,0.8877551020408163,0.8427471676024428
60622,33.0,38.0,43,115.0,0.30303030303030304,2.026315789473684,76.0,153.0,0.8444444444444444,0.6515151515151515,1.0,0.7971817092975274
60647,46.0,48.0,44,83.0,-0.043478260869565216,0.7291666666666666,90.0,131.0,1.0,0.4782608695652174,0.8645833333333333,0.7787312590295669
60607,29.0,41.0,37,464.0,0.27586206896551724,10.317073170731707,66.0,505.0,0.7333333333333333,0.6379310344827587,1.0,0.7405210048949808
60654,18.0,18.0,31,31.0,0.7222222222222222,0.7222222222222222,49.0,49.0,0.5444444444444444,0.8611111111111112,0.8611111111111112,0.7029298899969971
60641,15.0,18.0,25,27.0,0.6666666666666666,0.5,40.0,45.0,0.4444444444444444,0.8333333333333333,0.75,0.6712010804289935
60608,22.0,47.0,21,121.0,-0.045454545454545456,1.574468085106383,43.0,168.0,0.4777777777777778,0.4772727272727273,1.0,0.6709105438704228
60609,6.0,6.0,11,12.0,0.8333333333333334,1.0,17.0,18.0,0.18888888888888888,0.9166666666666667,1.0,0.6606670567298765
60644,5.0,5.0,9,13.0,0.8,1.6,14.0,18.0,0.15555555555555556,0.9,1.0,0.6317399132333492
60639,6.0,6.0,11,12.0,0.8333333333333334,1.0,17.0,18.0,0.18888888888888888,0.9166666666666667,1.0,0.6310169324728926
60613,13.0,25.0,15,970.0,0.15384615384615385,37.8,28.0,995.0,0.3111111111111111,0.5769230769230769,1.0,0.6307656316014097
60610,16.0,23.0,17,91.0,0.0625,2.9565217391304346,33.0,114.0,0.36666666666666664,0.53125,1.0,0.6268489244462712
60640,12.0,12.0,18,314.0,0.5,25.166666666666668,30.0,326.0,0.3333333333333333,0.75,1.0,0.6181005447339716
60642,21.0,28.0,27,37.0,0.2857142857142857,0.32142857142857145,48.0,65.0,0.5333333333333333,0.6428571428571428,0.6607142857142857,0.598420011278722
