zip_code,historical_permits,historical_units,recent_permits,recent_units,permit_growth,unit_growth,total_permits,total_units,activity_score,growth_component,unit_component,growth_score
60602,41.0,48.0,43,87.0,0.04878048780487805,0.8125,84.0,135.0,0.9438202247191011,0.524390243902439,0.90625,0.8517915936993639
60622,33.0,38.0,43,115.0,0.30303030303030304,2.026315789473684,76.0,153.0,0.8539325842696629,0.6515151515151515,1.0,0.8009769652276149
60647,45.0,47.0,44,83.0,-0.022222222222222223,0.7659574468085106,89.0,130.0,1.0,0.4888888888888889,0.8829787234042553,0.7874382818479448
60607,28.0,40.0,37,464.0,0.32142857142857145,10.6,65.0,504.0,0.7303370786516854,0.6607142857142857,1.0,0.7461574783917799
60654,17.0,17.0,31,31.0,0.8235294117647058,0.8235294117647058,48.0,48.0,0.5393258426966292,0.9117647058823529,0.9117647058823529,0.7312746061606161
60641,13.0,16.0,25,27.0,0.9230769230769231,0.6875,38.0,43.0,0.42696629213483145,0.9615384615384616,0.84375,0.7307963579666867
60608,22.0,47.0,21,121.0,-0.045454545454545456,1.574468085106383,43.0,168.0,0.48314606741573035,0.4772727272727273,1.0,0.6730578597256038
60609,6.0,6.0,11,12.0,0.8333333333333334,1.0,17.0,18.0,0.19101123595505617,0.9166666666666667,1.0,0.6615159955563433
60613,12.0,24.0,15,970.0,0.25,39.416666666666664,27.0,994.0,0.30337078651685395,0.625,1.0,0.6420925786867838
60610,15.0,22.0,17,91.0,0.13333333333333333,3.1363636363636362,32.0,113.0,0.3595505617977528,0.5666666666666667,1.0,0.6346274824987057
