zip_code,neighborhood,actual_units_per_acre,potential_units_per_acre,actual_recent_permits,potential_annual_permits,constraint_score,is_constrained,constraint_level,zoning_efficiency,special_factors,development_gap,permit_utilization,opportunity_score
60601,Other,1.67609375,200,71,50.0,0.495809765625,True,Moderately Constrained,0.504190234375,['Transit-Oriented Development Zone'],198.32390625,1.42,0.9862321786409114
60602,Other,0.08609375,200,69,50.0,0.499784765625,True,Moderately Constrained,0.5002152343749999,['Transit-Oriented Development Zone'],199.91390625,1.38,0.9943006844034775
60603,Other,0.15375,200,22,50.0,0.779615625,True,Severely Constrained,0.22038437499999997,['Transit-Oriented Development Zone'],199.84625,0.44,0.998512547230401
60604,Other,0.0796875,200,12,50.0,0.8798007812499999,True,Severely Constrained,0.12019921875000006,['Recent Up-zoning Activity'],199.9203125,0.24,1.0
60605,Other,3.1996875,200,42,50.0,0.5720007812500001,True,Significantly Constrained,0.4279992187499999,[],196.8003125,0.84,0.9811044150216466
60606,Other,0.47375,65,90,20.0,0.49635576923076924,True,Moderately Constrained,0.5036442307692308,[],64.52625,4.5,0.30958720525778516
60607,West Loop,2.584375,200,44,50.0,0.5535390625000001,True,Significantly Constrained,0.44646093749999993,"['Up-zoned for High-Rise Development', 'Transit-Oriented Development Zone', 'Recent Up-zoning Activity']",197.415625,0.88,0.9839454080497922
60608,Other,5.09640625,65,56,20.0,0.460796875,True,Moderately Constrained,0.539203125,[],59.90359375,2.8,0.29281204898196617
60609,Other,4.0815625,65,44,20.0,0.4686033653846154,True,Moderately Constrained,0.5313966346153847,[],60.918437499999996,2.2,0.3001234952926516
60610,Other,4.70171875,65,51,20.0,0.4638329326923077,True,Moderately Constrained,0.5361670673076924,['Recent Up-zoning Activity'],60.29828125,2.55,0.295717662053826
60611,Other,4.41234375,65,86,20.0,0.46605889423076924,True,Moderately Constrained,0.5339411057692307,[],60.58765625,4.3,0.290639587479212
60612,Other,2.61921875,65,67,20.0,0.4798521634615385,True,Moderately Constrained,0.5201478365384615,[],62.38078125,3.35,0.3031475065051
60613,Other,4.88484375,65,41,20.0,0.46242427884615384,True,Moderately Constrained,0.5375757211538461,['Recent Up-zoning Activity'],60.11515625,2.05,0.29666629916496695
60614,Lincoln Park,5.95140625,20,61,10.0,0.35121484375,True,Moderately Constrained,0.64878515625,['Historic District Restrictions'],14.04859375,6.1,0.052135204475733554
60615,Other,3.90578125,65,34,20.0,0.4699555288461538,True,Moderately Constrained,0.5300444711538461,[],61.09421875,1.7,0.302866696511735
60616,Other,4.205,65,43,20.0,0.46765384615384614,True,Moderately Constrained,0.5323461538461538,[],60.795,2.15,0.29969272437954997
60617,Other,5.47359375,65,76,20.0,0.4578954326923077,True,Moderately Constrained,0.5421045673076923,[],59.52640625,3.8,0.2871975191978254
60618,Other,6.41453125,65,71,20.0,0.45065745192307693,True,Moderately Constrained,0.5493425480769231,[],58.585468750000004,3.55,0.2834248849929368
60619,Other,5.24171875,65,32,20.0,0.4596790865384615,True,Moderately Constrained,0.5403209134615385,[],59.758281249999996,1.6,0.29655974248163175
60620,Other,4.68875,65,67,20.0,0.4639326923076923,True,Moderately Constrained,0.5360673076923077,[],60.31125,3.35,0.2927996607890808
60621,Other,2.398125,65,16,20.0,0.5815528846153846,True,Significantly Constrained,0.41844711538461543,[],62.601875,0.8,0.31413367354052646
60622,Other,4.3171875,65,72,20.0,0.4667908653846154,True,Moderately Constrained,0.5332091346153847,[],60.6828125,3.6,0.29372536786756887
60623,Other,4.890625,65,46,20.0,0.4623798076923077,True,Moderately Constrained,0.5376201923076923,[],60.109375,2.3,0.29570525294755573
60624,Other,2.5390625,65,18,20.0,0.53046875,True,Significantly Constrained,0.46953124999999996,[],62.4609375,0.9,0.3128696894747869
60625,Other,5.301875,65,47,20.0,0.45921634615384616,True,Moderately Constrained,0.5407836538461539,[],59.698125,2.35,0.2934625374099048
60626,Other,4.189375,65,18,20.0,0.5177740384615385,True,Significantly Constrained,0.48222596153846153,[],60.810625,0.9,0.30461797588833206
60628,Other,4.49,65,55,20.0,0.4654615384615385,True,Moderately Constrained,0.5345384615384615,[],60.51,2.75,0.2960305636362126
