baseline,optimistic,neutral,pessimistic,zip_code,optimistic_impact,neutral_impact,pessimistic_impact,max_impact
68878635.34064756,68878635.34064756,68878635.34064756,68878635.34064756,60601,0.0,0.0,0.0,0.0
22865897.488781128,22865897.488781128,22865897.488781128,22865897.488781128,60601,0.0,0.0,0.0,0.0
17317102.157699835,17317102.157699835,17317102.157699835,17317102.157699835,60601,0.0,0.0,0.0,0.0
6312613.576279764,6312613.576279764,6312613.576279764,6312613.576279764,60601,0.0,0.0,0.0,0.0
14934778.365854824,14934778.365854824,14934778.365854824,14934778.365854824,60601,0.0,0.0,0.0,0.0
7926305.673267875,7926305.673267875,7926305.673267875,7926305.673267875,60601,0.0,0.0,0.0,0.0
18557620.58360537,18557620.58360537,18557620.58360537,18557620.58360537,60601,0.0,0.0,0.0,0.0
26713899.207197662,26713899.207197662,26713899.207197662,26713899.207197662,60601,0.0,0.0,0.0,0.0
21978698.497552507,21978698.497552507,21978698.497552507,21978698.497552507,60601,0.0,0.0,0.0,0.0
108619004.36236231,108619004.36236231,108619004.36236231,108619004.36236231,60602,0.0,0.0,0.0,0.0
