permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
B200410784,PERMIT – EXPRESS PERMIT PROGRAM,1084400,2025-01-22T00:00:00.000,1400,S,JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR,,,"DUCTWORK EXTENSION/RECONFIGURATION, HYDRONIC PIPING EXTENSION/RECONFIGURATION, REPAIR/REPLACEMENT AFFECTING 1 SYSTEMS :   2 CHILLER(VTS & VENTROL, CUSTOM MODELS, SW MECH RM G365 AND SW MECH RM CG364) . ELECTRICAL WORK UNDER THIS PERMIT = NO . LOCATIONS: 0 RESIDENTIAL UNIT(S), 2 NON-RESIDENTIAL UNIT(S), 2 INTERIOR COMMON AREAS,  ADMINISTRATIVE OFFICES FOURTH FLOOR.",,33,4,"1400 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR, CHICAGO, IL",
B200411921,PERMIT – EXPRESS PERMIT PROGRAM,5800,2025-01-23T00:00:00.000,200,W,MADISON ST,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 36 . LIGHTING OUTLETS: 0. SPECIFIC LOCATION: SUITE 3300.,,32,34,"200 W MADISON ST, CHICAGO, IL",
B200411865,PERMIT – EXPRESS PERMIT PROGRAM,6500,2025-01-30T00:00:00.000,5601,W,HIRSCH ST,,,"REPAIR/REPLACEMENT AFFECTING 1 SYSTEMS :   2 DUCT FURNACE(HEIL, N80MSN070, MECHANICAL CLOSET IN UNIT.) . ELECTRICAL WORK UNDER THIS PERMIT = NO . LOCATIONS: 2 RESIDENTIAL UNIT(S), 0 NON-RESIDENTIAL UNIT(S),  IN UNIT MECHANICAL ROOM.",,25,29,"5601 W HIRSCH ST, CHICAGO, IL",
100135987,PERMIT - EASY PERMIT PROCESS,350,2006-09-13T00:00:00.000,1623,N,MAYFIELD AVE,CHICAGO,IL,"BASEMENT DECONVERSION: REMOVE KITCHEN STOVE, KITCHEN SINK, AND CABINETS AND CAP ALL PIPES. KEEP EXISTING BATHROOM AND RECREATION ROOMS IN BASEMENT. ALL WORK SAME AS EXISTING.",,,,"1623 N MAYFIELD AVE, CHICAGO, IL",
100170302,PERMIT - RENOVATION/ALTERATION,20000,2008-05-02T00:00:00.000,5205,W,SCHOOL ST,CHICAGO,IL,"ERECT 2ND FLOOR DORMER ADDITION W/ ROOF EXTENSION TO EXISTING SINGLE FAMILY DU INCLUDING ELECTRICAL, PLUMBING AND HVAC AS PER HOMEOWNER PLANS (1ST FLOOR AND BASEMENT CONFIGURATION EXISTING)",,15,38,"5205 W SCHOOL ST, CHICAGO, IL",
100356980,PERMIT - EASY PERMIT PROCESS,15000,2010-08-04T00:00:00.000,680,N,LAKE SHORE DR,CHGO,IL,WORK TO CONDO UNIT 1513: INSTALL CABINETS & TILE. REPLACE PLUMBING FIXTURES. ELECTRICAL- ALL WORK SAME AS EXISTING,,8,42,"680 N LAKE SHORE DR, CHICAGO, IL",
B200412280,PERMIT – EXPRESS PERMIT PROGRAM,,2025-01-31T00:00:00.000,50,S,LA SALLE ST,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 2/1/2025. END DATE: 3/3/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,32,42,"50 S LA SALLE ST, CHICAGO, IL",
B200412358,PERMIT – EXPRESS PERMIT PROGRAM,,2025-01-31T00:00:00.000,12800,S,BUTLER DR,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: FACTORY/INDUSTRIAL. START DATE: 2/3/2025. END DATE: 3/5/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,51,10,"12800 S BUTLER DR, CHICAGO, IL",
100122419,PERMIT - EASY PERMIT PROCESS,5000,2006-07-06T00:00:00.000,2904,N,WOODARD ST,CHICAGO,IL,REMOVE AND REPLACE ALL PLASTERBOARD AND REDO. ELECTRIC TO CODE.,,,,"2904 N WOODARD ST, CHICAGO, IL",
100159081,PERMIT - RENOVATION/ALTERATION,6000,2007-01-31T00:00:00.000,2715,N,MARMORA AVE,CHCIAGO,IL,INTERIOR ALTERATIONS TO DUPLEX BASEMENT W/ FIRST FLOOR TO EXISTING 2DU BUILDING AS PER ARCHITECT'S PLANS,,,,"2715 N MARMORA AVE, CHICAGO, IL",
100168558,PERMIT - EASY PERMIT PROCESS,6000,2007-03-21T00:00:00.000,5925,S,FRANCISCO AVE,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 22' X 22' X 13', WITH TWO - ONE SQ. FOOT ROOF VENTS, TWO OVERHEAD DOORS, (REAR DOOR, 8' HIGH X 6' WIDE), 32"" ENTRY DOOR.",,,,"5925 S FRANCISCO AVE, CHICAGO, IL",
100201201,PERMIT - EASY PERMIT PROCESS,5000,2007-09-20T00:00:00.000,949,N,DRAKE AVE,CHICAGO,IL,"REMOVE / REPLACE DRYWALL. ELECTRICAL REPAIRS TO INCLUDE:CIRCUITS, NEW 100 AMP. SERVICE, LIGHT FIXTURES AND RECEPTACLES.NO PLUMBING WORK. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"949 N DRAKE AVE, CHICAGO, IL",
100219026,PERMIT - RENOVATION/ALTERATION,18500,2008-01-18T00:00:00.000,2815,S,GRADY CT,CHICAGO,IL,NEW 1 STORY ATTACHED GARAGE WITH 2ND FLOOR ADDITION AS PER PLANS. AND WOOD STAIRS. (NO PLUMBING AND NO REFRIGERATION UNDER THIS PERMIT),,,,"2815 S GRADY CT, CHICAGO, IL",
